Lot Area,Year Built,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,TotRms AbvGrd,Fireplaces,Garage Cars,SalePrice
14774,1999,2599,2,1,4,10,1,3,333168
17433,1998,2475,2,1,4,7,1,3,355000
10593,1996,1720,2,0,3,7,1,2,260400
12256,1994,2622,2,1,3,9,2,2,325000
11764,1999,2270,2,1,4,9,1,3,290000
16770,1998,1839,2,1,4,7,0,2,221000
14720,1995,3238,2,1,4,9,1,3,410000
8987,2005,1595,2,0,2,6,1,3,221500
9215,2009,1218,2,0,2,4,0,2,204500
8640,2009,1547,2,1,3,7,0,2,215200
9000,2008,1566,2,0,3,7,0,2,262500
12552,2004,1947,2,1,3,8,1,2,254900
10440,2005,1468,2,0,2,6,1,2,271500
10142,2004,2084,2,1,4,8,0,2,233000
11920,2004,1659,2,1,3,8,0,2,181000
8880,1994,2110,2,1,3,8,2,2,205000
8012,1980,923,2,0,2,5,1,1,143000
11218,1992,1845,2,1,3,8,1,2,189000
7892,1979,918,2,0,2,5,1,1,99500
7175,1984,752,1,0,2,4,0,1,125000
9453,1993,1744,2,1,3,7,0,2,194500
9672,1984,1097,2,0,3,6,0,2,152000
8400,1980,1564,2,1,3,7,1,2,171000
9800,1920,1012,1,0,2,5,0,1,67500
8930,1978,1902,2,0,4,8,0,2,112000
11782,1961,1155,1,0,3,6,0,2,148000
8450,1965,894,1,0,3,5,1,1,138500
9819,1967,900,1,0,3,5,0,1,122000
7500,1963,1040,1,1,3,5,0,1,133000
6897,1962,1040,1,1,3,6,0,1,127000
15410,1974,1494,2,0,3,7,2,2,169000
10186,1992,1923,2,1,3,8,1,2,190000
13143,1993,2349,2,1,4,9,1,3,362500
11134,1992,2225,2,1,4,7,1,3,285000
4835,2004,1488,2,0,2,6,1,2,260000
3515,2004,1680,2,1,2,3,0,2,190000
3215,2004,1200,2,1,2,4,0,2,155000
3182,2004,1200,2,1,2,4,0,2,151000
2544,2004,1200,2,1,2,4,0,2,149500
2544,2005,1236,2,1,2,4,0,2,152000
4403,2009,1478,2,1,2,7,1,2,222000
2117,2000,1573,2,1,3,5,0,2,177500
2980,2000,1512,2,1,2,5,0,2,177000
2572,1999,1416,2,1,3,6,0,2,155000
2403,2003,1080,2,1,2,4,0,2,147110
12853,2010,1418,1,1,1,6,1,3,267916
7379,2000,1848,2,1,3,7,1,2,254000
4420,1980,788,1,0,1,3,1,2,155000
3880,1978,1226,1,0,1,4,1,2,206000
13517,1976,1479,2,1,3,6,0,2,130500
8000,2002,1492,2,0,3,6,1,2,230000
10456,1967,1829,2,0,4,8,0,2,218500
10791,1993,2495,2,1,4,9,1,2,243500
10603,1977,1610,2,0,3,6,2,2,205000
18837,1978,1891,3,0,3,7,1,2,212500
10421,1988,1714,2,1,3,7,1,2,196500
9360,1972,1381,1,1,3,5,1,2,197500
9600,1971,1645,1,2,4,7,0,2,171000
9600,1966,1232,1,1,3,6,0,2,142250
9790,1963,1328,1,1,3,6,2,2,143000
9320,1959,1225,1,1,3,6,0,0,128950
9900,1966,1209,1,0,3,6,0,2,159000
9680,1967,1510,2,0,3,6,0,2,178900
10600,1964,1775,2,0,3,8,0,2,136300
14112,1964,1152,1,0,3,6,1,2,180500
8800,1963,1054,1,0,3,6,0,2,137500
13260,1962,1728,2,0,6,10,0,0,84900
9717,1950,1078,1,0,2,5,0,1,142125
9724,1952,2461,2,0,3,7,2,2,197600
17360,1949,1556,2,0,3,6,1,2,172500
7207,1958,858,1,0,2,4,0,0,116500
5350,1940,1306,1,0,3,6,0,0,76500
9920,1954,1063,1,0,3,6,0,1,128000
9600,1955,1520,1,0,3,7,2,1,153000
7800,1954,1268,1,0,2,7,1,1,132000
11380,1966,1128,1,0,2,5,1,1,178000
11600,1960,2274,2,0,5,12,0,2,154300
19900,1970,2207,2,0,3,7,1,2,180000
16492,1966,1888,2,1,2,6,1,2,190000
8267,1958,1604,2,0,4,8,0,2,135000
8197,2003,1480,2,0,3,7,0,2,214000
8050,1959,1143,1,0,3,6,0,1,136000
10552,1959,1700,1,1,4,6,1,2,165500
8400,1957,1314,1,0,3,5,0,1,145000
8760,1959,1194,1,0,3,6,0,1,148000
12160,1959,1188,1,0,3,6,0,2,142000
9300,1960,1264,1,0,3,6,2,2,167500
10725,1959,1206,1,0,3,6,0,1,108538
10032,1959,1580,1,1,3,6,2,2,159500
8382,1956,1337,1,0,3,5,0,1,108000
10950,1952,1064,1,0,2,4,0,1,135000
10895,1955,972,1,0,3,5,0,1,122500
13587,1958,988,1,0,2,5,0,1,119000
7922,1953,1057,1,0,3,5,0,1,109000
7898,1920,985,1,0,2,4,0,2,105000
7200,1955,827,1,0,2,5,1,1,107500
10200,1954,1086,1,0,3,6,0,2,144900
5868,1956,936,1,0,2,4,0,1,129000
17503,1948,1458,1,0,3,6,1,1,97500
6979,1980,1056,0,0,0,4,0,2,144000
9830,1959,1287,1,0,3,7,1,2,162000
11275,1967,2978,2,1,5,11,1,2,242000
8064,1948,1224,1,0,3,5,0,1,132000
7500,1959,1246,1,1,3,6,0,1,154000
8520,1952,1385,2,0,4,6,0,2,166000
7200,1951,900,1,0,3,5,0,2,134800
10000,1962,1116,1,1,3,5,0,2,160000
7635,1960,1175,1,1,3,6,0,2,148000
9760,1963,1395,1,0,2,7,1,2,192000
7700,1966,1839,1,1,4,7,1,2,155000
4800,1900,1844,1,0,3,9,2,1,80400
8800,1910,1140,1,0,3,7,0,0,96500
4485,1920,936,1,0,2,5,1,0,109500
8960,1927,1028,1,0,2,5,1,2,115000
5805,1957,1347,1,0,3,6,0,2,143000
5790,1915,1605,2,0,3,8,0,1,107400
4608,1945,747,1,0,2,4,0,1,80000
7200,1940,804,1,0,2,4,2,1,119000
5500,1929,1316,1,0,3,6,0,2,130000
6900,1938,1251,1,0,3,6,0,1,119000
11851,1948,1633,1,0,3,7,1,1,129000
8239,1920,1245,1,0,3,6,0,1,100000
9656,1923,832,1,0,2,5,1,2,12789
8520,1928,720,1,0,2,5,0,2,105900
9600,1900,1566,2,0,3,7,0,1,150000
10800,1915,1652,2,0,4,7,0,1,139000
9000,1890,2268,3,0,3,7,0,2,240000
9045,1910,2256,2,0,4,12,0,0,76500
7407,1957,1236,1,0,2,6,0,2,149700
7740,1910,1363,1,0,3,6,0,2,125500
11340,1885,2290,2,0,4,11,0,2,122500
10560,1922,1470,1,1,2,6,0,2,140750
5830,1950,1612,1,1,3,7,0,1,128500
7793,1922,2068,1,1,3,8,1,1,209500
5000,1925,765,1,0,2,4,0,1,87000
6000,1939,1132,1,0,2,5,0,1,134000
6000,1940,1196,1,1,3,6,2,2,128000
6360,1942,1453,1,1,3,7,2,1,132000
6000,1948,1416,1,1,3,6,0,1,139900
6240,1936,1040,1,0,2,5,0,2,123900
6240,1930,1536,2,0,4,7,1,2,138400
6120,1923,1068,1,0,2,5,1,1,109500
10300,1921,1710,2,0,3,9,0,2,140000
8094,1915,1962,1,1,4,9,1,2,149500
12900,1912,1560,1,1,3,7,0,0,159900
3068,1920,1324,1,0,3,6,0,1,122000
8472,1963,816,1,0,2,5,0,2,110000
5600,1930,1092,2,0,3,7,0,0,55000
7630,1900,1812,2,0,4,8,1,2,140000
24090,1940,2403,2,0,4,10,2,1,244400
15263,1959,1675,2,0,3,8,2,1,173000
10632,1917,1224,1,1,3,6,0,1,107500
9900,1915,1392,1,0,3,6,0,0,100000
6001,1940,919,1,0,3,5,0,1,95000
6449,1907,1884,1,1,4,7,0,0,93369
6048,1910,1680,2,0,2,7,1,2,114900
6342,1875,1020,1,0,2,6,0,0,94000
10773,1967,1832,2,0,4,8,0,0,136000
10778,1968,1768,2,0,4,8,0,0,136500
11625,1965,1039,1,1,3,6,0,2,131500
11341,1957,1392,1,1,3,5,1,2,121500
8521,1967,912,1,0,3,5,1,1,125000
8246,1968,1060,1,0,3,6,1,1,154000
7800,1966,892,1,0,3,5,0,1,137900
9364,1969,1352,1,1,4,7,0,1,158000
7832,1968,864,1,0,2,4,0,1,137250
7424,1978,1373,1,0,3,5,2,2,160250
11227,1968,1440,1,1,4,7,2,2,163000
11616,1978,1386,2,1,3,6,1,2,158900
14000,1996,2260,2,1,3,7,0,2,328000
20062,1977,1483,1,1,1,4,2,2,270000
9259,1927,756,1,0,2,4,0,2,85000
9600,1950,1067,2,0,2,4,0,2,128000
23595,1979,1524,0,1,0,4,1,2,260000
17082,1978,1981,2,1,4,8,1,2,230000
18600,1938,1610,2,0,4,8,1,1,124000
10625,1920,835,1,0,2,5,0,1,83000
11479,1950,1074,1,0,3,6,1,1,144500
9571,1956,1144,1,0,3,6,0,1,129000
9350,1947,1531,1,0,3,8,1,1,127000
9525,1954,1172,1,0,3,5,0,1,128000
10420,2009,1212,2,0,3,6,0,2,186000
17485,2009,1508,1,0,1,5,2,2,308030
11200,1964,1298,2,0,3,5,0,2,114000
11100,1946,930,1,0,2,6,0,1,84900
9206,1985,1732,2,1,3,7,1,2,178000
11980,1987,1433,1,1,1,4,2,2,270000
12361,1993,1802,2,1,3,8,1,4,218000
9938,1993,1949,2,1,3,8,1,2,236000
9069,1992,996,1,0,2,5,0,2,147000
10475,2008,1694,2,0,3,7,0,3,245350
6762,2006,1208,2,0,2,6,0,2,206000
10402,2009,1226,2,0,3,6,0,3,198900
7360,2010,1222,2,0,2,6,0,2,187000
12376,1990,3222,3,0,5,11,2,3,320000
14235,1900,1445,2,0,3,6,0,2,138500
8816,1971,1052,1,0,3,6,0,2,155000
11105,1996,965,1,0,2,4,0,2,159000
9337,1997,1692,2,1,3,8,1,2,191000
8750,1998,1682,2,1,3,7,0,2,200500
15240,1977,1026,1,1,3,5,0,1,150000
10900,1977,1392,1,1,3,6,0,1,161750
10650,1976,894,1,0,3,5,0,1,128200
7480,1972,876,1,0,3,5,0,2,127000
10389,2003,1978,2,1,3,8,1,3,318000
11423,2001,1601,2,0,3,6,1,2,272000
9548,2003,1829,2,1,3,7,1,2,237000
9375,1997,2098,2,1,4,9,1,2,240000
12137,1998,1661,2,0,3,6,0,2,224900
4435,2003,848,1,0,1,4,0,2,143750
4426,2004,848,1,0,1,3,0,2,143000
10635,2003,1668,2,0,3,8,1,2,232000
8400,2004,1484,2,0,3,7,0,2,213000
8773,2004,1414,2,0,3,6,0,2,185500
8777,1945,640,1,0,2,5,0,1,84900
8842,1954,992,1,0,3,6,0,1,155891
9825,1965,1664,2,0,4,8,0,0,100000
10044,1968,1196,1,0,3,6,0,1,144000
11792,1948,1120,1,0,2,5,0,2,64000
6305,1975,1096,1,0,3,5,1,1,125200
7819,1976,1117,1,0,3,6,1,2,107000
6410,1958,960,1,0,3,5,0,0,90000
8546,2003,1121,2,0,2,5,0,2,140000
8741,1945,1487,1,1,3,7,1,1,113000
12180,1941,924,1,0,2,5,0,1,80000
8562,1957,1526,1,0,4,7,1,1,144500
4853,1924,1296,2,0,2,5,1,1,104000
6858,1915,1647,1,1,4,6,0,1,128000
8212,1914,864,1,0,2,5,0,1,58500
5000,1924,1691,2,0,3,6,1,1,127000
7890,1939,856,1,0,2,4,1,2,126000
7200,1967,2650,3,0,6,10,0,0,160000
9839,1931,1666,1,0,3,7,1,0,100000
9638,1919,2447,2,0,4,10,1,1,169000
10452,1941,2133,1,1,4,8,2,1,257500
15600,1950,2177,2,1,5,11,0,2,215000
9042,1941,2340,2,0,4,9,2,1,266500
17500,1959,1902,2,0,3,7,2,2,335000
19645,1994,1652,2,1,3,6,0,2,203135
3907,1989,1034,1,0,1,4,1,2,185000
3907,1989,1191,2,0,2,5,1,2,162500
15602,1959,1801,2,0,1,6,2,2,289000
5436,1922,1154,1,0,3,7,0,1,125500
8154,1941,540,1,0,1,4,0,1,82000
9140,1921,1107,1,0,2,5,0,1,110000
7500,1920,1128,1,0,2,6,0,2,68400
8712,1900,1178,1,0,2,7,0,1,102776
8712,1952,1044,1,0,2,4,0,2,55993
8712,1896,952,1,0,3,5,0,1,50138
3811,2004,1646,2,0,2,5,1,2,246000
11050,1998,1916,2,1,3,8,1,3,254900
9620,1977,1285,2,0,3,6,1,2,190000
9196,2003,1560,2,0,3,7,0,2,201000
12328,1976,1034,1,0,3,6,0,3,169900
12760,1976,2048,3,0,5,9,0,2,170000
57200,1948,1687,1,0,3,7,2,2,160000
11896,2008,1346,2,0,3,6,1,3,220000
9803,2009,1214,2,0,2,6,0,2,179781
9802,2006,1444,2,1,3,7,0,2,174000
12003,2009,1968,2,1,4,8,1,3,269500
11316,2002,1894,2,1,4,8,1,2,214900
14191,2002,1908,2,1,4,9,0,2,202900
13214,2008,2018,2,0,3,10,1,3,378500
15300,1965,1264,1,0,2,7,1,2,169000
10114,2004,1430,2,0,3,7,0,2,173500
9400,1971,1824,2,2,4,8,0,0,139000
11875,1999,1344,2,0,3,7,1,2,166500
1974,1973,1092,1,1,3,6,0,1,83500
2394,1973,945,1,0,2,5,1,1,119500
2592,1976,1112,1,1,3,4,0,1,85000
1476,1970,1092,1,1,3,5,0,0,76000
1491,1972,630,1,0,1,3,0,0,75500
1900,1970,1092,1,1,3,5,0,0,88250
1890,1972,1092,1,1,3,5,0,1,85500
6953,1971,874,1,0,3,5,0,1,130000
26142,1962,1188,1,0,3,6,0,1,157900
12887,1984,833,1,0,2,5,0,2,149900
7700,1985,2432,4,2,4,10,0,2,159000
10475,1991,1274,1,1,3,6,0,2,136000
10544,1969,1479,2,0,5,8,0,1,161000
9892,1994,1803,2,1,3,6,2,2,285000
12961,1993,1797,2,1,3,7,1,2,231000
13008,1956,882,1,0,2,5,0,1,124500
10200,1974,1434,2,0,4,7,1,2,157000
13860,1972,2704,2,1,4,9,3,2,345000
10179,1997,1608,2,1,3,7,1,2,189500
11792,2003,2283,2,1,4,9,1,3,270000
8400,1996,1628,2,1,3,7,1,2,189000
14892,2006,1746,2,0,3,7,2,3,377500
8530,1995,1474,2,1,3,7,1,2,168500
7296,2004,2522,2,0,1,8,1,2,375000
5664,2000,1659,2,0,2,5,1,2,278000
7380,1998,1478,2,0,2,5,0,2,240000
8013,1995,1734,2,0,2,6,0,2,239500
8923,1998,1382,2,1,3,7,1,2,177500
10141,1998,1718,2,1,3,7,1,2,185000
7500,1998,1636,2,1,3,7,1,2,191000
7837,1993,1571,2,1,3,7,1,2,178000
9765,1993,1470,2,1,3,6,1,2,185000
8803,1994,1516,2,1,3,7,1,2,181316
7250,1993,1190,2,0,3,6,1,2,166000
9636,1992,1593,2,1,3,7,1,2,178000
8125,1994,1481,2,1,3,6,1,2,174000
9248,1992,1167,2,0,3,6,0,2,173000
10762,1999,1983,2,1,3,9,1,2,225000
11851,1990,1442,2,0,3,5,0,2,180500
5814,1984,1360,1,0,1,4,1,2,187500
17423,2008,2234,2,0,1,9,1,3,501837
11844,2008,2046,2,1,3,7,1,3,372500
16158,2005,1530,2,0,3,7,1,2,260000
11900,1977,1934,2,1,3,6,1,2,185000
13005,1980,2353,2,1,4,10,1,2,260000
17043,1979,1586,2,0,3,7,1,2,181000
11900,1977,1411,2,0,3,6,1,2,82500
16635,1977,1602,2,0,3,8,1,2,215000
13250,1978,2050,2,1,4,8,1,2,154000
10928,1978,1671,2,0,3,7,1,2,200000
12388,1980,2673,2,1,4,9,1,2,249000
14115,1980,1472,2,0,3,6,2,2,187500
11088,1978,1707,2,0,3,7,1,2,184000
9600,1981,2524,2,1,4,9,1,2,278000
11880,1978,1601,2,0,3,7,1,2,157000
10400,1976,1370,2,0,3,6,1,2,152000
10304,1976,1868,2,1,4,9,1,2,197500
7000,2003,1884,2,1,3,7,1,2,240900
8004,2009,1935,2,1,3,8,0,2,263435
7500,2000,1874,2,1,3,7,1,2,220000
8470,2002,1811,2,1,3,7,1,2,235000
9373,1975,1621,2,0,3,7,2,2,213000
10140,1974,1116,2,0,3,6,1,2,167900
11050,1975,1193,2,0,3,5,1,2,158000
10140,1974,1350,2,0,3,7,1,2,165000
10448,1972,2119,2,1,3,7,1,2,158000
9000,1974,1792,2,2,4,8,0,0,136000
8750,1970,1002,1,0,3,5,0,2,148500
7930,1969,1026,1,0,3,5,0,2,156000
7830,1970,1180,1,1,2,6,0,2,128000
8510,1971,1050,1,1,3,6,0,1,143000
7038,1970,864,1,0,3,5,0,2,76500
6960,1970,864,1,0,3,5,0,2,120500
8120,1970,864,1,0,3,5,0,2,124500
10500,1971,864,1,0,2,4,0,2,97000
9000,1971,864,1,0,3,5,0,2,130000
1680,1973,987,1,1,2,5,0,1,111000
2368,1970,1365,1,1,3,7,0,2,125000
1680,1971,1302,2,1,3,6,0,1,112000
1680,1972,987,1,1,2,5,0,1,97000
1680,1972,987,1,1,2,5,0,1,118000
1680,1972,1302,2,1,3,6,0,1,119500
4928,1976,958,2,0,2,5,0,2,143750
2308,1976,1548,2,1,3,7,1,2,146000
2280,1976,1456,2,1,3,7,1,2,148500
2280,1975,1055,2,0,2,4,1,2,123000
2308,1974,1322,2,1,3,6,1,2,147000
2349,1977,1456,2,1,3,6,1,2,137900
2364,1978,1548,2,1,3,7,1,2,147000
2289,1978,1441,2,1,3,7,1,2,148500
2364,1978,1456,2,1,3,6,1,2,138000
2104,1976,836,1,0,2,5,0,1,128500
7150,1967,892,1,0,3,5,0,1,100000
10710,1966,1120,1,0,3,5,1,2,148800
12456,2006,1718,2,0,3,7,1,3,337500
14257,2007,2772,3,1,4,10,3,3,462000
13518,2008,3140,3,1,4,11,2,3,485000
15431,2008,2402,2,0,2,10,2,3,555000
13173,2006,1652,2,0,2,6,2,2,325000
14230,2007,1600,2,0,3,7,1,3,256300
12704,2008,2042,2,1,3,8,1,3,253293
12350,2009,2690,2,1,3,8,1,3,398800
11308,2008,2184,2,1,3,10,1,3,335000
12350,2008,2020,2,0,3,7,1,3,404000
12220,2009,2020,2,1,3,9,1,3,402861
13478,2008,2296,2,1,3,10,1,3,451950
13693,2007,2674,2,1,2,8,2,3,610000
13891,2008,2822,3,1,4,12,1,3,582933
11578,2008,1736,2,0,3,7,1,3,360000
16870,2004,1782,2,0,3,7,2,3,296000
23303,2007,2520,2,1,5,10,1,3,409900
11146,2006,1717,2,0,3,7,1,3,255500
10367,2008,1743,2,0,3,8,1,3,335000
9591,2004,1713,2,0,3,7,1,3,274900
10872,2006,1531,2,0,2,6,1,3,300000
13514,2008,1808,2,0,3,7,1,3,324000
8834,2004,2224,2,1,4,10,1,3,350000
11362,2004,1836,2,0,3,7,1,3,280000
10655,2003,1629,2,0,3,7,1,3,284000
12878,2003,1760,2,0,3,8,1,2,269500
9541,2009,1502,2,0,3,7,0,2,233170
13472,2003,2392,2,0,3,8,1,3,386250
15274,2003,2452,2,0,3,10,1,3,445000
13262,2003,2400,3,1,4,10,1,3,290000
9658,2006,1606,2,0,3,6,1,3,255900
6904,2005,1358,2,0,2,6,1,2,213000
5381,2005,1306,2,0,1,5,1,2,196000
5122,2005,1306,2,0,1,5,1,2,184500
10307,2007,1358,2,0,2,6,1,2,212500
5001,2007,1314,2,0,2,6,1,2,230000
14836,2004,2492,2,1,2,8,1,3,552000
15262,2003,2200,2,1,3,8,1,3,382500
7390,2008,1884,2,0,2,6,1,2,320000
6472,2008,1456,2,0,2,6,1,2,248500
16770,2002,1712,2,0,3,8,1,3,286500
6240,2006,1324,2,0,2,6,1,2,254000
3480,2003,1405,2,0,2,6,1,2,173000
2268,2003,1626,2,0,2,6,0,2,173000
10928,2005,1456,2,1,3,8,1,2,184000
8918,2005,1490,2,1,3,7,1,2,167800
12589,2005,1484,2,1,3,8,1,2,174000
11911,2005,1560,2,1,3,6,1,2,174000
3684,2007,1555,2,0,2,7,1,3,174000
3635,2007,1569,2,0,1,7,1,3,175900
3182,2005,1555,2,0,2,7,1,2,192500
3182,2005,1504,2,0,1,7,1,2,181000
3182,2005,1220,2,0,2,5,1,2,180000
3182,2005,1145,2,0,2,5,1,2,160200
7795,2004,1432,2,1,3,6,1,2,188500
8068,2002,2267,2,1,4,8,1,2,200000
9434,2004,1374,2,1,3,6,1,2,170000
7984,2004,1630,2,1,3,7,1,2,189500
7750,2002,1419,2,1,3,7,1,2,184100
10125,2004,1594,2,1,3,7,1,2,195500
8965,2003,1489,2,1,3,8,1,2,192000
8174,2003,1342,2,1,3,7,1,2,178000
5063,2007,1314,2,0,2,6,1,2,207500
8795,2000,2256,2,1,4,8,1,2,236000
12891,2002,2004,2,1,4,8,1,3,257500
12224,2000,2054,2,1,3,7,1,2,244000
9734,2004,1374,2,1,3,7,0,2,167000
8123,2000,1800,2,1,3,7,1,2,179000
8433,2000,1514,2,1,3,7,1,2,190000
7750,1999,1430,2,1,3,7,1,2,156000
15896,1999,2312,2,1,4,8,1,3,245000
24682,1999,1675,2,1,3,7,1,2,181000
8755,1999,2060,2,1,3,8,1,2,214000
7848,1999,1430,2,1,3,7,1,2,168000
9430,1999,2365,2,1,3,8,1,3,337000
15138,1995,2794,2,1,4,9,1,3,403000
12720,2000,2687,2,1,4,10,2,3,327000
16545,1998,2450,2,1,3,7,1,3,340000
12203,1998,2612,2,1,4,8,1,3,336000
10208,1996,2344,2,1,3,7,1,3,265000
10750,1994,2063,2,0,3,7,2,3,315000
9900,1993,2646,2,1,4,9,1,3,260000
9085,1995,2061,2,1,3,7,1,2,260000
11692,1993,2232,2,1,3,8,1,2,263550
46589,1994,2448,2,1,4,8,1,3,402000
29959,1994,1850,2,1,3,7,1,2,248000
9612,2008,1468,2,0,3,6,1,3,244600
11194,2008,1696,2,0,3,7,0,3,275000
10206,2008,1658,2,1,3,7,1,3,257500
9262,2008,1578,2,0,3,7,1,3,287090
10130,2007,1702,2,0,3,7,1,3,275500
9139,2006,1432,2,0,3,7,1,2,245000
9675,2005,1971,2,1,3,8,1,2,253000
11128,2005,2490,2,0,2,9,2,3,468000
8640,2009,1852,2,1,3,7,1,2,252678
9000,2008,1590,2,1,3,6,0,2,210000
7862,2009,1218,2,0,2,4,0,2,208300
7993,2008,1436,2,0,3,6,0,2,225000
8640,2009,1314,2,0,3,6,0,2,229456
8640,2008,1402,2,0,3,7,0,2,229800
12606,2007,1530,2,0,3,7,1,3,250000
9187,2009,1766,2,1,2,7,1,3,370878
7500,2006,1448,2,0,2,6,1,2,238500
11003,2008,2007,2,1,3,10,1,3,310000
10603,2006,1795,2,1,3,8,1,3,270000
10574,2005,1953,2,1,3,9,1,3,252000
8125,2006,1550,2,0,2,7,0,2,241000
8125,2008,1836,2,0,3,8,1,2,264500
10625,2006,1662,2,0,3,8,1,3,291000
9375,2003,2094,2,1,4,8,1,2,263000
7500,2004,1221,2,0,2,6,0,2,185000
8736,2003,1553,2,0,3,6,0,2,234500
8127,2003,1653,2,1,3,6,0,2,209000
9605,2007,1218,1,1,3,6,0,2,159000
7500,2006,1141,1,1,3,6,0,2,152000
7500,2004,1158,1,1,3,5,0,0,143500
10628,2004,1812,2,1,3,8,0,2,193000
10141,2004,1512,2,0,3,6,0,3,203000
10083,2003,1200,2,0,2,5,0,2,184900
13072,2004,1114,1,1,3,6,0,2,159000
13072,2004,1114,1,1,3,6,0,0,142000
12450,2003,1114,2,0,3,6,0,2,153000
7328,2008,1450,2,0,2,6,0,3,224243
11492,1996,2122,2,1,4,8,1,2,220000
10994,2005,1844,2,0,2,7,1,2,257000
8529,2001,1434,2,0,3,6,1,2,189000
7703,1992,1730,2,1,3,6,0,2,171500
10762,1980,1217,1,1,3,6,1,1,120000
7175,1990,1332,2,0,2,5,0,2,145000
9109,1994,1540,2,1,3,6,0,2,184000
10274,1986,1400,2,1,3,6,0,2,162000
8250,1981,1882,2,0,4,8,2,2,160000
8400,1950,841,1,0,2,4,0,1,82000
9000,1928,784,1,0,2,5,0,2,76000
9750,1962,980,1,0,3,5,0,2,110000
7064,1977,980,1,0,3,6,0,2,135000
8499,1961,864,1,0,3,5,0,2,141000
9079,1961,864,1,0,2,5,0,1,122000
9316,1965,1020,2,0,3,5,0,1,124100
7791,1963,912,1,0,3,6,0,1,129000
10000,1961,1144,1,0,3,6,1,1,131400
8281,1965,864,1,0,3,5,1,1,62383
7150,1962,912,1,0,3,6,0,1,123000
15676,1980,2014,2,0,2,6,2,3,275000
11949,1991,1755,2,1,3,7,1,2,235000
2880,2004,3005,2,1,3,9,1,3,280750
3951,2009,1224,2,1,2,4,0,2,164500
3000,2009,1224,2,1,2,4,0,2,173733
3830,2008,1726,2,1,2,6,1,2,222000
4217,2008,1256,1,1,1,5,1,2,195000
3230,1999,1471,2,1,3,6,0,2,172500
2998,2000,1512,2,1,2,4,0,2,180000
3768,1999,1452,2,1,3,6,0,2,156000
2645,1999,1739,2,1,3,7,0,2,172500
14694,1977,1694,2,0,2,5,1,2,318750
3782,1981,1226,1,0,1,4,2,2,211500
15417,1981,1740,1,1,2,7,0,2,241600
9600,1976,2499,2,1,4,5,1,2,180500
9991,1976,1620,2,0,3,8,1,2,150000
11700,1968,1556,1,1,4,8,0,2,154000
