ID,Gender,Race,Age_at_Release,Residence_PUMA,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt
295,M,BLACK,28-32,14,FALSE,7,Standard,At least some college,2,Other,Less than 1 year,7,3,0,1,5,2,FALSE,TRUE,0,0,FALSE,0,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,71.2,0,0,0,0,0.735955056,1,FALSE
331,M,BLACK,33-37,11,FALSE,10,Specialized,High School Diploma,1,Property,1-2 years,5,5,0,5,0,3,FALSE,FALSE,2,1,FALSE,3,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,3,35,0,0,0,0,1,2,FALSE
347,M,WHITE,38-42,16,FALSE,3,,Less than HS diploma,0,Drug,1-2 years,8,6,0,2,2,5,FALSE,FALSE,2,4,FALSE,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,6,0,0,53.42105263,0,0,0,0,0.177339901,0.359852217,FALSE
374,M,BLACK,28-32,20,FALSE,10,Specialized,High School Diploma,3,Drug,Greater than 2 to 3 years,4,6,0,1,3,2,FALSE,FALSE,1,4,FALSE,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,6,0,0,229.6666667,0.111111112,0,0,0,0,0,FALSE
396,F,BLACK,33-37,22,,9,Specialized,Less than HS diploma,3,Property,1-2 years,10,1,0,5,0,4,FALSE,FALSE,3,1,FALSE,3,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,7,3,2,22.77419355,0,0,0,0,0.519830028,1.552053824,TRUE
418,M,BLACK,43-47,14,FALSE,5,,High School Diploma,3,,1-2 years,10,6,3,2,5,3,FALSE,TRUE,3,3,TRUE,2,2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,119.4,0,0,0,0,0,0,FALSE
444,M,BLACK,28-32,2,TRUE,8,High,Less than HS diploma,3,Violent/Non-Sex,More than 3 years,7,6,3,2,1,5,FALSE,FALSE,3,4,TRUE,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,10,0,1,61.58333333,0.25,0.083333336,0,0,0.430311231,0.98849797,FALSE
474,F,WHITE,33-37,14,,1,Standard,Less than HS diploma,3,Property,1-2 years,10,6,0,5,3,5,FALSE,FALSE,3,4,TRUE,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,2,22.94666667,0,0,0,0,0.766995933,1.697850087,TRUE
516,M,BLACK,48 or older,6,FALSE,1,,Less than HS diploma,2,Violent/Non-Sex,Less than 1 year,10,6,3,5,3,5,TRUE,FALSE,3,4,TRUE,3,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,0,0,1,30.83333333,0,0,0,0,0.648648649,2,FALSE
533,M,BLACK,48 or older,18,FALSE,2,Specialized,High School Diploma,3,Violent/Sex,More than 3 years,2,0,0,0,0,0,FALSE,FALSE,2,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,10,0,0,,,,,,0.992857143,1,TRUE
559,M,BLACK,48 or older,3,FALSE,3,Standard,Less than HS diploma,1,Other,1-2 years,10,6,1,3,1,1,FALSE,FALSE,3,4,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,8,3,0,14.2,0,0,0,0,0,0,FALSE
585,M,WHITE,38-42,18,FALSE,7,High,Less than HS diploma,3,Drug,1-2 years,5,6,1,0,3,5,FALSE,FALSE,2,4,FALSE,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,4,10,3,2,491.6666667,0.333333343,0,0.333333343,0.333333343,0.072542373,0.247627119,FALSE
607,M,BLACK,38-42,25,FALSE,5,Standard,High School Diploma,3,Violent/Non-Sex,1-2 years,5,2,3,0,3,1,FALSE,TRUE,2,2,TRUE,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,,,,,,1,1.922368421,FALSE
650,M,WHITE,28-32,25,FALSE,9,Specialized,Less than HS diploma,1,Property,Greater than 2 to 3 years,6,2,0,3,2,2,FALSE,FALSE,1,2,FALSE,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,2,,,,,,0.671296296,1,FALSE
680,M,BLACK,38-42,5,TRUE,6,Standard,Less than HS diploma,3,Drug,Greater than 2 to 3 years,10,3,3,1,3,3,FALSE,TRUE,0,4,FALSE,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4,10,3,2,83.15384615,0.230769232,0,0,0,0.380203515,0.675763182,FALSE
702,M,BLACK,33-37,2,FALSE,4,Standard,At least some college,3,Other,Less than 1 year,8,6,0,2,4,5,FALSE,FALSE,3,2,FALSE,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,6,0,0,21.27272727,0.181818187,0.181818187,0,0,1,3,FALSE
727,M,WHITE,48 or older,22,FALSE,5,Specialized,High School Diploma,2,Violent/Sex,More than 3 years,10,6,3,5,5,5,FALSE,FALSE,3,4,FALSE,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,10,0,1,27.17857143,0,0,0,0,1,1.439881735,FALSE
750,M,BLACK,33-37,7,FALSE,6,Standard,Less than HS diploma,0,Drug,1-2 years,6,4,3,3,1,2,TRUE,TRUE,3,1,TRUE,3,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,186.8,0.200000003,0,0,0,0.58993576,0.391059957,FALSE
769,M,WHITE,48 or older,18,FALSE,7,High,Less than HS diploma,2,Other,Greater than 2 to 3 years,10,6,2,5,4,3,FALSE,TRUE,3,3,FALSE,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,3,166.8888889,0,0,0,0,0.27563249,0.243175766,FALSE
796,M,WHITE,43-47,20,FALSE,4,Standard,High School Diploma,2,Violent/Non-Sex,More than 3 years,3,6,1,0,0,2,TRUE,FALSE,2,3,TRUE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,4,0,0,70.35714286,0,0,0,0,1,1.854060914,FALSE
818,M,BLACK,48 or older,19,FALSE,3,High,High School Diploma,1,Violent/Non-Sex,More than 3 years,10,6,3,0,4,5,FALSE,FALSE,2,4,TRUE,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1,0,0,1,389.6,0,0,0,0,0.582135524,0.1875,FALSE
841,M,BLACK,38-42,6,FALSE,4,Standard,At least some college,1,,More than 3 years,5,6,0,2,1,3,FALSE,FALSE,3,4,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,4,0,0,3,36.58823529,0,0,0,0,0.850482315,1.761655949,FALSE
866,M,BLACK,28-32,3,FALSE,3,,High School Diploma,3,Drug,Less than 1 year,2,2,0,0,2,1,FALSE,FALSE,2,1,FALSE,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,,,,,,0.480662983,1,FALSE
903,M,WHITE,43-47,4,FALSE,9,Specialized,High School Diploma,2,Property,Greater than 2 to 3 years,9,3,0,5,2,5,FALSE,FALSE,3,1,FALSE,3,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,2,2,2,49.66666667,0.166666672,0,0,0,0.090604027,1,FALSE
924,M,BLACK,33-37,3,FALSE,6,Standard,High School Diploma,3,Violent/Non-Sex,1-2 years,7,6,2,4,1,4,TRUE,FALSE,2,4,TRUE,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,,,,,,0.330396476,0.402257709,FALSE
950,M,WHITE,33-37,24,FALSE,6,High,High School Diploma,1,Other,Less than 1 year,5,1,0,4,0,2,FALSE,TRUE,2,0,FALSE,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,0,0,0,117.6666667,0,0,0,0,1,2,FALSE
975,F,WHITE,33-37,24,,6,Standard,Less than HS diploma,2,Drug,1-2 years,4,6,0,5,2,4,FALSE,FALSE,2,3,FALSE,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,10,0,1,26.83870968,0.032258064,0,0,0.032258064,0.40625,1.756009615,FALSE
1008,F,WHITE,33-37,22,,4,Standard,Less than HS diploma,2,,Less than 1 year,8,6,0,5,2,5,FALSE,FALSE,3,4,FALSE,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,4,3,0,31.72727273,0,0,0.090909094,0,1,1,FALSE
1036,M,WHITE,28-32,24,FALSE,7,High,Less than HS diploma,2,Drug,1-2 years,1,1,0,0,1,1,FALSE,FALSE,0,1,FALSE,0,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,6,0,3,,0,0,0.060606062,0.030303031,,,FALSE
1071,M,WHITE,33-37,4,FALSE,9,Specialized,High School Diploma,3,Property,1-2 years,6,3,3,2,2,3,TRUE,FALSE,1,2,TRUE,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,6,0,0,99.88235294,0.05882353,0,0.05882353,0,0.875147232,0.860424028,FALSE
1100,M,BLACK,38-42,21,FALSE,3,Standard,High School Diploma,3,,1-2 years,8,3,1,4,3,1,FALSE,TRUE,2,0,FALSE,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,137.3333333,0,0,0,0,1,1.773058252,FALSE
1143,M,BLACK,28-32,10,FALSE,10,Specialized,Less than HS diploma,2,Other,1-2 years,10,5,1,1,5,4,FALSE,TRUE,0,4,FALSE,1,2,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,4,10,1,0,45.53846154,0.15384616,0,0,0,0.560810811,0.616976351,FALSE
1168,M,BLACK,33-37,4,FALSE,5,Standard,Less than HS diploma,1,Drug,Greater than 2 to 3 years,4,1,1,0,3,1,FALSE,FALSE,3,0,TRUE,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,3,,0,0,0,0,,,FALSE
1215,M,WHITE,33-37,22,FALSE,9,Specialized,High School Diploma,3,Property,1-2 years,10,6,0,5,2,5,FALSE,FALSE,3,1,FALSE,3,2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,6,0,1,48.8,0,0,0,0,0,0,TRUE
1235,M,WHITE,38-42,18,FALSE,3,Standard,At least some college,1,Property,1-2 years,10,6,1,5,5,5,FALSE,TRUE,3,4,FALSE,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2,0,2,94.41666667,0,0,0,0,0.998234775,0.322374228,FALSE
1281,M,WHITE,33-37,4,FALSE,6,High,High School Diploma,0,Violent/Non-Sex,More than 3 years,9,6,2,3,2,5,FALSE,FALSE,3,4,TRUE,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,9,1,1,29.3,0,0,0,0,1,1,FALSE
1306,M,BLACK,48 or older,25,FALSE,3,Standard,Less than HS diploma,2,Drug,Greater than 2 to 3 years,10,6,2,3,4,5,FALSE,FALSE,3,4,FALSE,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,6,0,0,,,,,,0.934579439,1,FALSE
1336,M,BLACK,38-42,10,FALSE,4,,High School Diploma,1,Other,Less than 1 year,10,6,1,5,4,5,FALSE,TRUE,3,4,FALSE,3,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,1,74.57142857,0.142857149,0.142857149,0,0,0.867816092,0.699712644,FALSE
1353,M,BLACK,28-32,8,FALSE,7,High,High School Diploma,3,,1-2 years,7,4,0,3,5,2,FALSE,TRUE,3,1,FALSE,1,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,6,0,1,182.5,0,0,0,0,1,1.334246575,FALSE
1372,M,BLACK,33-37,21,TRUE,8,High,Less than HS diploma,3,Other,More than 3 years,7,6,3,1,5,4,FALSE,FALSE,3,4,TRUE,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,6,0,0,148.3333333,0.333333343,0,0,0,0.337078652,0.820786517,FALSE
1397,M,BLACK,33-37,4,FALSE,5,Standard,Less than HS diploma,3,,Less than 1 year,6,6,1,3,5,3,TRUE,TRUE,1,4,FALSE,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,6,0,1,17.70967742,0,0,0,0,0,0,FALSE
1428,M,WHITE,33-37,17,FALSE,9,Specialized,At least some college,1,Property,Less than 1 year,5,6,1,2,4,4,FALSE,FALSE,1,3,FALSE,3,2,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,17.63461538,0.03846154,0,0.03846154,0,1,0.796619411,FALSE
1459,M,WHITE,33-37,17,FALSE,8,High,High School Diploma,2,Property,More than 3 years,5,6,1,5,1,5,FALSE,TRUE,3,4,FALSE,2,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,0,1,44,0,0,0,0.0625,0.995738636,0.518821023,FALSE
1481,M,WHITE,33-37,8,FALSE,7,High,High School Diploma,2,Property,Greater than 2 to 3 years,5,1,0,2,3,0,FALSE,TRUE,2,1,FALSE,1,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,115.8,0,0,0,0,0.998272884,0.630829016,FALSE
1511,M,BLACK,38-42,9,FALSE,7,High,High School Diploma,3,Drug,Greater than 2 to 3 years,7,5,2,1,5,2,FALSE,FALSE,1,2,TRUE,0,2,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,6,0,0,24.17647059,0,0.029411765,0,0,0.692214112,0.444343066,FALSE
1537,M,BLACK,43-47,22,FALSE,1,,Less than HS diploma,1,Violent/Non-Sex,Less than 1 year,6,6,3,2,1,5,TRUE,TRUE,3,4,TRUE,1,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,10,3,0,26.33333333,0,0,0,0,1,0.77056962,FALSE
1555,M,BLACK,33-37,7,FALSE,3,Standard,At least some college,3,,Less than 1 year,7,6,1,2,3,5,FALSE,TRUE,1,4,FALSE,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,2,3,0,109.5,0.5,0,0,0,1,1.667808219,FALSE
1576,F,WHITE,33-37,14,,5,Standard,Less than HS diploma,3,Drug,Less than 1 year,3,5,0,3,2,2,FALSE,FALSE,0,1,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,7,0,2,43.27272727,0,0,0.090909094,0.272727281,0.665966387,0.767331933,FALSE
1601,M,WHITE,28-32,21,FALSE,9,Standard,High School Diploma,0,Violent/Non-Sex,More than 3 years,6,4,3,5,0,3,FALSE,FALSE,2,0,FALSE,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,181.8333333,0,0,0,0,0.131530706,0.334784601,TRUE
1622,M,BLACK,38-42,11,FALSE,9,Standard,High School Diploma,3,Other,1-2 years,10,6,3,4,5,5,FALSE,TRUE,3,4,TRUE,1,2,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,4,1,0,80.33333333,0.333333343,0,0,0,1,1.515560166,FALSE
1664,M,BLACK,38-42,3,FALSE,6,High,Less than HS diploma,3,Drug,Greater than 2 to 3 years,5,5,1,0,5,1,FALSE,FALSE,3,4,FALSE,0,2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,,0,0,0,0,0,,FALSE
1690,M,WHITE,33-37,18,TRUE,1,Standard,Less than HS diploma,1,Property,More than 3 years,10,6,1,5,1,5,FALSE,FALSE,2,4,FALSE,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4,3,0,3,,,,,,0,0,FALSE
1724,F,WHITE,28-32,24,,7,High,High School Diploma,1,Violent/Non-Sex,Less than 1 year,7,4,2,4,0,2,TRUE,FALSE,1,1,FALSE,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,0,2,15.34,0.039999999,0.02,0.039999999,0,1,0.476205997,FALSE
1756,M,BLACK,48 or older,15,FALSE,1,Specialized,High School Diploma,3,Violent/Sex,More than 3 years,6,4,3,2,1,2,FALSE,FALSE,2,1,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,10,1,0,105.8333333,0,0,0,0,0.856692913,0.57519685,FALSE
1789,M,BLACK,33-37,20,FALSE,7,High,Less than HS diploma,0,,1-2 years,5,4,1,2,4,2,FALSE,FALSE,2,4,TRUE,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1,63.95238095,0.095238097,0,0,0,0.765450484,0.271965748,FALSE
1816,M,BLACK,38-42,25,FALSE,9,Specialized,Less than HS diploma,2,Property,1-2 years,10,6,3,5,0,5,FALSE,FALSE,3,4,TRUE,3,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,,,,,,1,2,FALSE
1843,M,WHITE,48 or older,3,FALSE,3,Standard,High School Diploma,0,Property,More than 3 years,10,2,0,3,3,1,FALSE,FALSE,3,2,FALSE,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,85.1,0,0,0,0,0.998824912,0.42920094,FALSE
1865,M,BLACK,33-37,19,FALSE,5,Standard,At least some college,3,Violent/Non-Sex,Greater than 2 to 3 years,7,6,2,1,1,5,FALSE,TRUE,2,4,FALSE,0,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,2,,,,,,0.979655712,1.714788732,FALSE
1905,M,WHITE,43-47,19,FALSE,7,Standard,Less than HS diploma,3,Drug,Greater than 2 to 3 years,10,6,1,2,5,5,FALSE,FALSE,0,2,FALSE,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,7,3,1,60.07142857,0,0,0.071428575,0.107142858,0.020214031,0.2171522,FALSE
1944,M,BLACK,48 or older,5,FALSE,3,Standard,High School Diploma,0,,Less than 1 year,10,6,1,5,2,2,FALSE,FALSE,3,4,TRUE,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,,,,,,1,1,FALSE
